,id,0000_01_04_2022,0001_02_04_2022,0002_03_04_2022,0003_04_04_2022,0004_05_04_2022,0005_06_04_2022,0006_07_04_2022,0007_08_04_2022,0008_09_04_2022,0009_10_04_2022,0010_11_04_2022,0011_12_04_2022,0012_13_04_2022,0013_14_04_2022,0014_15_04_2022,0015_16_04_2022,0016_17_04_2022,0017_18_04_2022,0018_19_04_2022,0019_20_04_2022,0020_21_04_2022,0021_22_04_2022,0022_23_04_2022,0023_24_04_2022,0024_25_04_2022,0025_26_04_2022,0026_27_04_2022,0027_28_04_2022,0028_29_04_2022,0029_30_04_2022,0030_01_05_2022,0031_02_05_2022,0032_03_05_2022,0033_04_05_2022,0034_05_05_2022,0035_06_05_2022,0036_07_05_2022,0037_08_05_2022,0038_09_05_2022,0039_10_05_2022,0040_11_05_2022,0041_12_05_2022,0042_13_05_2022,0043_14_05_2022,0044_15_05_2022,0045_16_05_2022,0046_17_05_2022,0047_18_05_2022,0048_19_05_2022,0049_20_05_2022,0050_21_05_2022,0051_22_05_2022,0052_23_05_2022,0053_24_05_2022,0054_25_05_2022,0055_26_05_2022,0056_27_05_2022,0057_28_05_2022,0058_29_05_2022,0059_30_05_2022,0060_31_05_2022,0061_01_06_2022,0062_02_06_2022,0063_03_06_2022,0064_04_06_2022,0065_05_06_2022,0066_06_06_2022,0067_07_06_2022,0068_08_06_2022,0069_09_06_2022,0070_10_06_2022,0071_11_06_2022,0072_12_06_2022,0073_13_06_2022,0074_14_06_2022,0075_15_06_2022,0076_16_06_2022,0077_17_06_2022,0078_18_06_2022,0079_19_06_2022,0080_20_06_2022,0081_21_06_2022,0082_22_06_2022,0083_23_06_2022,0084_24_06_2022,0085_25_06_2022,0086_26_06_2022,0087_27_06_2022,0088_28_06_2022,0089_29_06_2022,0090_30_06_2022
0,1,14.506109,9.20804,14.173483,13.396278,20.476807,21.114879,16.946443,16.946443,16.946443,12.286446,8.76346,6.6557514,2.4946929,2.32838,2.1620672,1.8294414,1.6631286,1.4968157,1.16419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,14.506109,9.20804,14.173483,13.396278,20.476807,21.114879,16.946443,16.946443,16.946443,12.286446,8.76346,6.6557514,2.4946929,2.32838,2.1620672,1.8294414,1.6631286,1.4968157,1.16419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,14.501903,9.20483535,14.1696375,13.391921,20.472226499999998,21.110284,16.940948499999998,16.940948499999998,16.940948499999998,12.281938,8.7593844,6.6526046999999995,2.49199305,2.3258602,2.15972735,1.8274615500000002,1.6613286999999999,1.4951957999999999,1.1629301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,14.457004,9.1786731,14.124615,13.352524,20.42473,21.060067,16.891038,16.891038,16.891038,12.248044,8.73897,6.6373247,2.4929136,2.3267193,2.1605251,1.8281366,1.6619424,1.4957481,1.1633597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,14.457004,9.1786731,14.124615,13.352524,20.42473,21.060067,16.891038,16.891038,16.891038,12.248044,8.73897,6.6373247,2.4929136,2.3267193,2.1605251,1.8281366,1.6619424,1.4957481,1.1633597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,14.4773505,9.1901519,14.145203500000001,13.370044,20.446188,21.082878,16.913246,16.913246,16.913246,12.262737000000001,8.7471394,6.64339135,2.4911034,2.32502985,2.1589563,1.8268091499999999,1.6607356,1.494662,1.16251495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,14.542207000000001,9.2275159,14.2104475,13.426574500000001,20.514722499999998,21.1554785,16.9848775,16.9848775,16.9848775,12.3109425,8.77540235,6.6644916,2.48819575,2.32231605,2.15643635,1.8246769,1.6587971499999998,1.49291745,1.16115805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,14.546357,9.2306877,14.214237,13.430882,20.519244,21.160011,16.99031,16.99031,16.99031,12.315408,8.7794521,6.6676189,2.4908963,2.3248365,2.1587768,1.8266573,1.6605975,1.4945378,1.1624183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,14.546357,9.2306877,14.214237,13.430882,20.519244,21.160011,16.99031,16.99031,16.99031,12.315408,8.7794521,6.6676189,2.4908963,2.3248365,2.1587768,1.8266573,1.6605975,1.4945378,1.1624183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,14.546357,9.2306877,14.214237,13.430882,20.519244,21.160011,16.99031,16.99031,16.99031,12.315408,8.7794521,6.6676189,2.4908963,2.3248365,2.1587768,1.8266573,1.6605975,1.4945378,1.1624183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
