i,j,t,r
0,4,0,0.5332375
0,4,1,0.5924861
0,4,2,0.4687802
0,4,3,1.040463
0,4,4,0.8048868
0,4,5,0.9695227
0,4,6,0.4847614
0,4,7,0.4352959
0,4,8,0.5399873
0,4,9,0.4960349
0,4,10,0.5139639
0,4,11,0.5202317
0,4,12,1.01569
0,4,13,0.5139639
0,4,14,0.5202317
0,4,15,1.421967
0,4,16,0.4397835
0,4,17,0.9076383
0,4,18,0.8887292
0,4,19,0.4847614
0,4,20,1.471
0,4,21,1.777458
0,4,22,0.9273696
0,4,23,1.254676
0,4,24,0.4443646
0,6,0,8.062785
0,6,1,3.420576
0,6,2,3.960667
0,6,3,3.4732
0,6,4,3.319971
0,6,5,6.450228
0,6,6,14.10987
0,6,7,3.369522
0,6,8,4.426627
0,6,9,2.594919
0,6,10,9.03032
0,6,11,4.51516
0,6,12,4.031393
0,6,13,9.815565
0,6,14,9.406583
0,6,15,2.536607
0,6,16,4.803361
0,6,17,3.319971
0,6,18,3.892379
0,6,19,3.369522
0,6,20,5.37519
0,6,21,2.536607
0,6,22,5.37519
0,6,23,4.51516
0,6,24,2.536607
1,12,0,1.580154
1,12,1,1.843513
1,12,2,10.271
1,12,3,1.615663
1,12,4,2.765269
1,12,5,1.580154
1,12,6,2.713094
1,12,7,2.114618
1,12,8,6.251914
1,12,9,5.1355
1,12,10,1.691694
1,12,11,2.662852
1,12,12,3.687026
1,12,13,4.958414
1,12,14,1.892026
1,12,15,2.114618
1,12,16,2.114618
1,12,17,1.482412
1,12,18,5.75176
1,12,19,1.892026
1,12,20,7.988556
1,12,21,3.507171
1,12,22,2.479207
1,12,23,2.995708
1,12,24,7.1897
1,23,0,15.28333
1,23,1,3.647159
1,23,2,7.641667
1,23,3,3.451075
1,23,4,8.674325
1,23,5,3.414362
1,23,6,3.566111
1,23,7,20.05938
1,23,8,13.95435
1,23,9,8.229487
1,23,10,4.862879
1,23,11,9.725758
1,23,12,3.308763
1,23,13,7.132223
1,23,14,11.06724
1,23,15,10.69833
1,23,16,6.172116
1,23,17,8.02375
1,23,18,3.647159
1,23,19,16.0475
1,23,20,3.731977
1,23,21,8.02375
1,23,22,6.055661
1,23,23,3.275
1,23,24,3.414362
1,24,0,1.641084
1,24,1,2.837708
1,24,2,4.393871
1,24,3,1.404227
1,24,4,2.389649
1,24,5,4.864643
1,24,6,3.584474
1,24,7,13.621
1,24,8,2.522408
1,24,9,2.270167
1,24,10,2.476546
1,24,11,1.746282
1,24,12,2.522408
1,24,13,1.565632
1,24,14,2.670784
1,24,15,8.012353
1,24,16,1.768961
1,24,17,1.816133
1,24,18,11.35083
1,24,19,3.681351
1,24,20,3.492564
1,24,21,4.864643
1,24,22,3.167675
1,24,23,3.584474
1,24,24,7.567223
2,3,0,5.453
2,3,1,4.565302
2,3,2,7.270667
2,3,3,6.332516
2,3,4,3.569236
2,3,5,13.0872
2,3,6,4.461545
2,3,7,2.205708
2,3,8,2.003143
2,3,9,4.006286
2,3,10,2.044875
2,3,11,5.166
2,3,12,2.044875
2,3,13,2.583
2,3,14,5.305622
2,3,15,6.332516
2,3,16,5.305622
2,3,17,3.5055
2,3,18,2.394
2,3,19,3.384621
2,3,20,5.6088
2,3,21,2.309506
2,3,22,2.044875
2,3,23,3.849176
2,3,24,2.394
2,11,0,0.4030232
2,11,1,0.3687234
2,11,2,0.7877273
2,11,3,0.5415625
2,11,4,0.444359
2,11,5,0.7534782
2,11,6,0.4226829
2,11,7,0.2113415
2,11,8,0.2113415
2,11,9,0.1805208
2,11,10,0.1768367
2,11,11,0.7534782
2,11,12,0.2015116
2,11,13,0.2139506
2,11,14,0.7220833
2,11,15,0.2750794
2,11,16,0.1824211
2,11,17,0.216625
2,11,18,0.2625757
2,11,19,0.1904396
2,11,20,0.1947191
2,11,21,1.575455
2,11,22,0.3040351
2,11,23,0.4813889
2,11,24,0.4030232
2,23,0,5.184138
2,23,1,25.05667
2,23,2,9.699354
2,23,3,6.0136
2,23,4,3.132083
2,23,5,30.068
2,23,6,7.709743
2,23,7,3.579524
2,23,8,6.136326
2,23,9,6.536521
2,23,10,6.992558
2,23,11,12.0272
2,23,12,27.33455
2,23,13,10.36828
2,23,14,3.037172
2,23,15,10.02267
2,23,16,3.537412
2,23,17,6.833636
2,23,18,13.66727
2,23,19,5.184138
2,23,20,5.096271
2,23,21,8.590857
2,23,22,3.956316
2,23,23,3.165053
2,23,24,4.555758
3,2,0,2.845043
3,2,1,5.773765
3,2,2,10.332
3,2,3,4.08975
3,2,4,2.974364
3,2,5,9.8154
3,2,6,3.384621
3,2,7,3.703924
3,2,8,4.461545
3,2,9,8.1795
3,2,10,19.6308
3,2,11,6.134625
3,2,12,7.550308
3,2,13,2.023794
3,2,14,8.923091
3,2,15,10.906
3,2,16,3.067312
3,2,17,2.157231
3,2,18,4.9077
3,2,19,2.110839
3,2,20,2.365157
3,2,21,8.923091
3,2,22,6.769241
3,2,23,3.327254
3,2,24,2.282651
3,19,0,0.2452737
3,19,1,0.3477761
3,19,2,0.4568824
3,19,3,0.5065435
3,19,4,1.5534
3,19,5,0.3758226
3,19,6,0.4315
3,19,7,0.8321786
3,19,8,0.4396415
3,19,9,0.3584769
3,19,10,0.5295682
3,19,11,0.2912625
3,19,12,0.46602
3,19,13,0.261809
3,19,14,1.059136
3,19,15,1.226368
3,19,16,0.46602
3,19,17,0.3191918
3,19,18,0.4755306
3,19,19,0.6853235
3,19,20,0.3530455
3,19,21,2.3301
3,19,22,1.94175
3,19,23,0.3026104
3,19,24,0.6657429
3,20,0,4.925727
3,20,1,5.243516
3,20,2,2.664738
3,20,3,6.50196
3,20,4,1.958422
3,20,5,3.533674
3,20,6,3.125942
3,20,7,6.50196
3,20,8,1.641909
3,20,9,4.277605
3,20,10,1.890105
3,20,11,5.4183
3,20,12,2.355783
3,20,13,2.138803
3,20,14,1.912341
3,20,15,2.226699
3,20,16,13.54575
3,20,17,3.96461
3,20,18,2.355783
3,20,19,4.063725
3,20,20,5.4183
3,20,21,2.390426
3,20,22,10.15931
3,20,23,2.390426
3,20,24,2.500754
4,0,0,0.4538192
4,0,1,1.01569
4,0,2,0.6562923
4,0,3,0.4960349
4,0,4,0.5843699
4,0,5,0.9076383
4,0,6,1.040463
4,0,7,2.031381
4,0,8,0.5687867
4,0,9,1.376097
4,0,10,1.376097
4,0,11,3.878091
4,0,12,1.939045
4,0,13,0.8705918
4,0,14,0.7355
4,0,15,1.777458
4,0,16,1.471
4,0,17,1.152946
4,0,18,0.4847614
4,0,19,0.4397835
4,0,20,0.5018706
4,0,21,0.5843699
4,0,22,0.9273696
4,0,23,0.4793146
4,0,24,2.843933
4,5,0,2.599667
4,5,1,1.186804
4,5,2,2.021963
4,5,3,2.18372
4,5,4,0.8148209
4,5,5,1.070451
4,5,6,0.8949672
4,5,7,1.882517
4,5,8,1.070451
4,5,9,4.199461
4,5,10,0.974875
4,5,11,0.6910506
4,5,12,0.8148209
4,5,13,0.9926
4,5,14,0.7912029
4,5,15,1.161553
4,5,16,0.6422706
4,5,17,1.114143
4,5,18,0.8028382
4,5,19,1.605676
4,5,20,0.718329
4,5,21,0.9577719
4,5,22,0.8665555
4,5,23,4.199461
4,5,24,1.5598
4,20,0,1.648547
4,20,1,3.3605
4,20,2,1.53286
4,20,3,1.98575
4,20,4,1.783122
4,20,5,0.9817191
4,20,6,1.386873
4,20,7,1.266275
4,20,8,1.409242
4,20,9,1.164973
4,20,10,1.5886
4,20,11,2.184325
4,20,12,1.120167
4,20,13,0.8915612
4,20,14,3.120464
4,20,15,0.9197158
4,20,16,1.092162
4,20,17,0.8825555
4,20,18,6.721
4,20,19,5.139588
4,20,20,1.5886
4,20,21,3.012862
4,20,22,5.824867
4,20,23,1.027918
4,20,24,2.131049
5,4,0,0.8949672
5,4,1,1.070451
5,4,2,0.9926
5,4,3,1.605676
5,4,4,1.24075
5,4,5,1.475486
5,4,6,0.5628144
5,4,7,0.7912029
5,4,8,0.5870215
5,4,9,0.7582361
5,4,10,3.412062
5,4,11,4.199461
5,4,12,0.8398923
5,4,13,1.010981
5,4,14,2.599667
5,4,15,1.299833
5,4,16,0.6275057
5,4,17,0.620375
5,4,18,0.5686771
5,4,19,3.032944
5,4,20,1.761064
5,4,21,0.709
5,4,22,1.161553
5,4,23,5.4593
5,4,24,0.6275057
5,8,0,0.3950948
5,8,1,1.042611
5,8,2,0.4577317
5,8,3,0.67025
5,8,4,0.4415765
5,8,5,1.706091
5,8,6,0.3869485
5,8,7,0.568697
5,8,8,0.8936667
5,8,9,0.4364419
5,8,10,0.3909792
5,8,11,0.5362
5,8,12,0.5957778
5,8,13,0.6950741
5,8,14,0.6255667
5,8,15,0.469175
5,8,16,0.4468333
5,8,17,0.93835
5,8,18,0.7081887
5,8,19,1.706091
5,8,20,0.3950948
5,8,21,2.681
5,8,22,0.7081887
5,8,23,1.014432
5,8,24,2.085222
5,20,0,1.334442
5,20,1,0.856679
5,20,2,1.927528
5,20,3,0.7304316
5,20,4,0.9913
5,20,5,0.7885341
5,20,6,1.826079
5,20,7,1.051379
5,20,8,1.416143
5,20,9,1.084234
5,20,10,0.8360361
5,20,11,3.154136
5,20,12,0.7461398
5,20,13,1.261654
5,20,14,3.652158
5,20,15,2.570037
5,20,16,0.9252133
5,20,17,2.77564
5,20,18,0.8360361
5,20,19,1.137557
5,20,20,1.261654
5,20,21,0.7796742
5,20,22,1.779256
5,20,23,0.7885341
5,20,24,1.9826
6,0,0,2.401681
6,0,1,3.135528
6,0,2,4.51516
6,0,3,22.5758
6,0,4,3.826407
6,0,5,2.565432
6,0,6,7.054937
6,0,7,14.10987
6,0,8,22.5758
6,0,9,6.101567
6,0,10,5.130864
6,0,11,5.788667
6,0,12,3.58346
6,0,13,7.282516
6,0,14,4.907783
6,0,15,2.655977
6,0,16,4.031393
6,0,17,4.180704
6,0,18,2.280384
6,0,19,10.75038
6,0,20,2.327402
6,0,21,5.941
6,0,22,5.016844
6,0,23,5.37519
6,0,24,18.81317
6,7,0,3.920208
6,7,1,1.742315
6,7,2,2.767206
6,7,3,1.325141
6,7,4,1.447461
6,7,5,3.24431
6,7,6,1.960104
6,7,7,1.120059
6,7,8,2.090778
6,7,9,0.960051
6,7,10,3.618654
6,7,11,8.553182
6,7,12,1.594661
6,7,13,1.8817
6,7,14,2.138295
6,7,15,1.057135
6,7,16,0.960051
6,7,17,1.094012
6,7,18,2.688143
6,7,19,1.844804
6,7,20,1.069148
6,7,21,1.844804
6,7,22,1.221883
6,7,23,2.412436
6,7,24,1.011667
7,6,0,1.011667
7,6,1,1.568083
7,6,2,2.090778
7,6,3,1.206218
7,6,4,5.226944
7,6,5,1.081437
7,6,6,1.254467
7,6,7,2.542838
7,6,8,7.840416
7,6,9,1.011667
7,6,10,1.190949
7,6,11,1.081437
7,6,12,3.48463
7,6,13,1.809327
7,6,14,1.094012
7,6,15,1.000904
7,6,16,1.404254
7,6,17,1.960104
7,6,18,1.190949
7,6,19,1.383603
7,6,20,7.237308
7,6,21,2.542838
7,6,22,2.188023
7,6,23,1.011667
7,6,24,1.057135
7,12,0,1.699083
7,12,1,0.6950796
7,12,2,0.9410307
7,12,3,1.609658
7,12,4,0.6241531
7,12,5,2.659435
7,12,6,2.0389
7,12,7,0.7369518
7,12,8,3.219316
7,12,9,2.0389
7,12,10,0.7645875
7,12,11,2.265445
7,12,12,2.0389
7,12,13,0.6796333
7,12,14,0.6872697
