i,j,t,r
0,27,77,42.51672
0,27,78,42.51672
0,27,79,42.51672
0,27,80,42.51672
0,27,81,42.51672
0,27,82,42.51672
0,27,83,42.51672
0,27,84,42.51672
0,27,85,42.51672
0,27,86,51.11857
0,27,87,48.12286
0,27,88,59.44473
1,5,0,78.43098
1,5,1,71.11799
1,5,2,65.99046
1,5,3,65.99046
1,5,4,68.97424
1,5,5,90.89287
1,5,6,82.68203
1,5,7,78.43098
1,5,8,77.10946
1,5,9,75.83174
1,5,10,67.95012
1,5,11,65.05243
1,5,12,59.16528
1,5,13,59.16528
1,5,14,59.16528
1,5,15,59.16528
1,5,16,64.14069
1,5,17,61.5526
1,5,18,59.16528
1,5,19,71.11799
1,5,20,82.68203
1,5,21,73.39926
1,5,22,67.95012
1,5,23,59.16528
1,5,24,59.16528
1,5,25,59.16528
1,5,26,59.16528
1,5,27,59.16528
1,5,28,59.16528
1,5,29,59.16528
1,5,30,73.39926
1,5,31,94.6527
1,5,32,96.65173
1,5,33,73.39926
1,5,34,75.83174
1,5,35,78.43098
1,5,36,75.83174
1,5,37,71.11799
1,5,38,70.02971
1,5,39,68.97424
1,5,40,77.10946
1,5,41,75.83174
1,5,42,67.95012
1,5,43,65.05243
1,5,44,64.14069
1,5,45,64.14069
1,5,46,65.05243
1,5,47,65.05243
1,5,48,75.83174
1,5,49,105.5701
1,5,50,96.65173
1,5,51,103.1897
1,5,52,90.89287
1,5,53,82.68203
1,5,54,79.79858
1,5,55,82.68203
1,5,56,71.11799
1,5,57,66.95596
1,5,58,62.39178
1,5,59,59.16528
1,5,60,59.16528
1,5,61,59.16528
1,5,62,59.16528
1,5,63,59.16528
1,5,64,59.16528
1,5,65,59.16528
1,5,66,59.16528
1,5,67,59.16528
1,5,68,59.16528
1,5,69,59.16528
1,5,70,59.16528
1,5,71,59.16528
1,5,72,59.16528
1,5,73,59.16528
1,5,74,59.16528
1,5,75,59.16528
1,5,76,59.16528
1,5,77,59.16528
1,5,78,59.16528
1,5,79,59.16528
1,5,80,59.16528
1,5,81,59.16528
1,5,82,59.16528
1,5,83,59.16528
1,5,84,59.16528
1,5,85,59.16528
1,5,86,71.11799
1,5,87,66.95596
1,5,88,82.68203
1,18,0,40.73426
1,18,1,36.92917
1,18,2,34.26208
1,18,3,34.26208
1,18,4,35.81401
1,18,5,47.22176
1,18,6,42.94684
1,18,7,40.73426
1,18,8,40.04655
1,18,9,39.38167
1,18,10,35.28131
1,18,11,33.77423
1,18,12,30.71304
1,18,13,30.71304
1,18,14,30.71304
1,18,15,30.71304
1,18,16,33.30009
1,18,17,31.95428
1,18,18,30.71304
1,18,19,36.92917
1,18,20,42.94684
1,18,21,38.11601
1,18,22,35.28131
1,18,23,30.71304
1,18,24,30.71304
1,18,25,30.71304
1,18,26,30.71304
1,18,27,30.71304
1,18,28,30.71304
1,18,29,30.71304
1,18,30,38.11601
1,18,31,49.1799
1,18,32,50.22116
1,18,33,38.11601
1,18,34,39.38167
1,18,35,40.73426
1,18,36,39.38167
1,18,37,36.92917
1,18,38,36.36304
1,18,39,35.81401
1,18,40,40.04655
1,18,41,39.38167
1,18,42,35.28131
1,18,43,33.77423
1,18,44,33.30009
1,18,45,33.30009
1,18,46,33.77423
1,18,47,33.77423
1,18,48,39.38167
1,18,49,54.86791
1,18,50,50.22116
1,18,51,53.62743
1,18,52,47.22176
1,18,53,42.94684
1,18,54,41.44602
1,18,55,42.94684
1,18,56,36.92917
1,18,57,34.76423
1,18,58,32.39063
1,18,59,30.71304
1,18,60,30.71304
1,18,61,30.71304
1,18,62,30.71304
1,18,63,30.71304
1,18,64,30.71304
1,18,65,30.71304
1,18,66,30.71304
1,18,67,30.71304
1,18,68,30.71304
1,18,69,30.71304
1,18,70,30.71304
1,18,71,30.71304
1,18,72,30.71304
1,18,73,30.71304
1,18,74,30.71304
1,18,75,30.71304
1,18,76,30.71304
1,18,77,30.71304
1,18,78,30.71304
1,18,79,30.71304
1,18,80,30.71304
1,18,81,30.71304
1,18,82,30.71304
1,18,83,30.71304
1,18,84,30.71304
1,18,85,30.71304
1,18,86,36.92917
1,18,87,34.76423
1,18,88,42.94684
2,3,0,96.73394
2,3,1,87.77786
2,3,2,81.49056
2,3,3,81.49056
2,3,4,85.15001
2,3,5,111.9659
2,3,6,101.9342
2,3,7,96.73394
2,3,8,95.11646
2,3,9,93.55219
2,3,10,83.89421
2,3,11,80.33966
2,3,12,73.11168
2,3,13,73.11168
2,3,14,73.11168
2,3,15,73.11168
2,3,16,79.22081
2,3,17,76.04375
2,3,18,73.11168
2,3,19,87.77786
2,3,20,101.9342
2,3,21,90.5731
2,3,22,83.89421
2,3,23,73.11168
2,3,24,73.11168
2,3,25,73.11168
2,3,26,73.11168
2,3,27,73.11168
2,3,28,73.11168
2,3,29,73.11168
