i,j,t,r
0,206,0,6.270049
0,206,1,4.578565
0,206,2,3.738184
0,206,3,3.738184
0,206,4,4.200811
0,206,5,12.35674
0,206,6,7.690647
0,206,7,6.270049
0,206,8,5.906378
0,206,9,5.582581
0,206,10,4.034383
0,206,11,3.605816
0,206,12,2.889585
0,206,13,2.889585
0,206,14,2.889585
0,206,15,2.889585
0,206,16,3.482502
0,206,17,3.158458
0,206,18,2.889585
0,206,19,4.578565
0,206,20,7.690647
0,206,21,5.03097
0,206,22,4.034383
0,206,23,2.889585
0,206,24,2.889585
0,206,25,2.889585
0,206,26,2.889585
0,206,27,2.889585
0,206,28,2.889585
0,206,29,2.889585
0,206,30,2.889585
0,206,31,5.03097
0,206,32,16.3166
0,206,33,19.42986
0,206,34,5.03097
0,206,35,5.582581
0,206,36,6.270049
0,206,37,5.582581
0,206,38,4.578565
0,206,39,4.381561
0,206,40,4.200811
0,206,41,5.906378
0,206,42,5.582581
0,206,43,4.034383
0,206,44,3.605816
0,206,45,3.482502
0,206,46,3.482502
0,206,47,3.605816
0,206,48,3.605816
0,206,49,5.582581
0,206,50,46.23336
0,206,51,19.42986
0,206,52,45.44038
0,206,53,12.35674
0,206,54,7.690647
0,206,55,6.681442
0,206,56,7.690647
0,206,57,4.578565
0,206,58,3.880639
1,16,0,1.515985
1,16,1,1.133294
1,16,2,0.9363244
1,16,3,0.9363244
1,16,4,1.045333
1,16,5,2.757543
1,16,6,1.823939
1,16,7,1.515985
1,16,8,1.435211
1,16,9,1.362609
1,16,10,1.006282
1,16,11,0.9048707
1,16,12,0.7326
1,16,13,0.7326
1,16,14,0.7326
1,16,15,0.7326
1,16,16,0.8754614
1,16,17,0.7976848
1,16,18,0.7326
1,16,19,1.133294
1,16,20,1.823939
1,16,21,1.237417
1,16,22,1.006282
1,16,23,0.7326
1,16,24,0.7326
1,16,25,0.7326
1,16,26,0.7326
1,16,27,0.7326
1,16,28,0.7326
1,16,29,0.7326
1,16,30,0.7326
1,16,31,1.237417
1,16,32,3.467493
1,16,33,3.979809
1,16,34,1.237417
1,16,35,1.362609
1,16,36,1.515985
1,16,37,1.362609
1,16,38,1.133294
1,16,39,1.087538
1,16,40,1.045333
1,16,41,1.435211
1,16,42,1.362609
1,16,43,1.006282
1,16,44,0.9048707
1,16,45,0.8754614
1,16,46,0.8754614
1,16,47,0.9048707
1,16,48,0.9048707
1,16,49,1.362609
1,16,50,7.326
1,16,51,3.979809
1,16,52,7.148216
1,16,53,2.757543
1,16,54,1.823939
1,16,55,1.606393
1,16,56,1.823939
1,16,57,1.133294
1,16,58,0.9700436
1,910,0,3.189918
1,910,1,2.384766
1,910,2,1.970331
1,910,3,1.970331
1,910,4,2.199695
1,910,5,5.80158
1,910,6,3.837779
1,910,7,3.189918
1,910,8,3.019982
1,910,9,2.867236
1,910,10,2.117528
1,910,11,1.904149
1,910,12,1.541664
1,910,13,1.541664
1,910,14,1.541664
1,910,15,1.541664
1,910,16,1.842268
1,910,17,1.678614
1,910,18,1.541664
1,910,19,2.384766
1,910,20,3.837779
1,910,21,2.60384
1,910,22,2.117528
1,910,23,1.541664
1,910,24,1.541664
1,910,25,1.541664
1,910,26,1.541664
1,910,27,1.541664
1,910,28,1.541664
1,910,29,1.541664
1,910,30,1.541664
1,910,31,2.60384
1,910,32,7.294658
1,910,33,8.371947
1,910,34,2.60384
1,910,35,2.867236
1,910,36,3.189918
1,910,37,2.867236
1,910,38,2.384766
1,910,39,2.288495
1,910,40,2.199695
1,910,41,3.019982
1,910,42,2.867236
1,910,43,2.117528
1,910,44,1.904149
1,910,45,1.842268
1,910,46,1.842268
1,910,47,1.904149
1,910,48,1.904149
1,910,49,2.867236
1,910,50,15.41664
1,910,51,8.371947
1,910,52,15.03167
1,910,53,5.80158
1,910,54,3.837779
1,910,55,3.380119
1,910,56,3.837779
1,910,57,2.384766
1,910,58,2.04128
2,821,0,1.140629
2,821,1,0.9053791
2,821,2,0.7725925
2,821,3,0.7725925
2,821,4,0.8471395
2,821,5,1.745276
2,821,6,1.310944
2,821,7,1.140629
2,821,8,1.093283
2,821,9,1.049711
2,821,10,0.8207418
2,821,11,0.750576
2,821,12,0.625752
2,821,13,0.625752
2,821,14,0.625752
2,821,15,0.625752
2,821,16,0.7297795
2,821,17,0.6737741
2,821,18,0.625752
2,821,19,0.9053791
2,821,20,1.310944
2,821,21,0.9722177
2,821,22,0.8207418
2,821,23,0.625752
2,821,24,0.625752
2,821,25,0.625752
2,821,26,0.625752
2,821,27,0.625752
2,821,28,0.625752
2,821,29,0.625752
2,821,30,0.625752
2,821,31,0.9722177
2,821,32,2.011903
2,821,33,2.178293
2,821,34,0.9722177
2,821,35,1.049711
2,821,36,1.140629
2,821,37,1.049711
2,821,38,0.9053791
2,821,39,0.8752916
2,821,40,0.8471395
2,821,41,1.093283
2,821,42,1.049711
2,821,43,0.8207418
2,821,44,0.750576
2,821,45,0.7297795
2,821,46,0.7297795
2,821,47,0.750576
2,821,48,0.750576
2,821,49,1.049711
2,821,50,3.255121
2,821,51,2.178293
2,821,52,2.897081
2,821,53,1.745276
2,821,54,1.310944
2,821,55,1.192261
2,821,56,1.310944
2,821,57,0.9053791
2,821,58,0.7959396
2,825,0,4.3838
2,825,1,3.480027
2,825,2,2.969809
2,825,3,2.969809
2,825,4,3.256255
2,825,5,6.705827
2,825,6,5.037989
2,825,7,4.3838
2,825,8,4.201924
2,825,9,4.034539
2,825,10,3.154825
2,825,11,2.885207
2,825,12,2.40552
2,825,13,2.40552
2,825,14,2.40552
2,825,15,2.40552
2,825,16,2.805292
2,825,17,2.590071
2,825,18,2.40552
2,825,19,3.480027
2,825,20,5.037989
2,825,21,3.736824
2,825,22,3.154825
2,825,23,2.40552
2,825,24,2.40552
2,825,25,2.40552
2,825,26,2.40552
2,825,27,2.40552
2,825,28,2.40552
2,825,29,2.40552
2,825,30,2.40552
2,825,31,3.736824
2,825,32,7.729356
2,825,33,8.367969
2,825,34,3.736824
2,825,35,4.034539
2,825,36,4.3838
2,825,37,4.034539
2,825,38,3.480027
2,825,39,3.364424
2,825,40,3.256255
2,825,41,4.201924
2,825,42,4.034539
2,825,43,3.154825
2,825,44,2.885207
2,825,45,2.805292
2,825,46,2.805292
2,825,47,2.885207
2,825,48,2.885207
2,825,49,4.034539
2,825,50,12.49859
2,825,51,8.367969
2,825,52,11.12563
2,825,53,6.705827
2,825,54,5.037989
2,825,55,4.582131
2,825,56,5.037989
2,825,57,3.480027
2,825,58,3.059522
3,874,0,31.99427
3,874,1,23.9091
3,874,2,19.74997
3,874,3,19.74997
3,874,4,22.05157
3,874,5,58.26503
3,874,6,38.5047
3,874,7,31.99427
3,874,8,30.28726
3,874,9,28.75318
3,874,10,21.227
3,874,11,19.08595
3,874,12,15.44983
3,874,13,15.44983
3,874,14,15.44983
3,874,15,15.44983
3,874,16,18.46513
3,874,17,16.82344
3,874,18,15.44983
3,874,19,23.9091
3,874,20,38.5047
3,874,21,26.10835
3,874,22,21.227
3,874,23,15.44983
3,874,24,15.44983
3,874,25,15.44983
3,874,26,15.44983
3,874,27,15.44983
3,874,28,15.44983
3,874,29,15.44983
3,874,30,15.44983
3,874,31,26.10835
3,874,32,73.31489
3,874,33,84.18774
3,874,34,26.10835
3,874,35,28.75318
3,874,36,31.99427
3,874,37,28.75318
3,874,38,23.9091
3,874,39,22.9428
3,874,40,22.05157
3,874,41,30.28726
3,874,42,28.75318
3,874,43,21.227
3,874,44,19.08595
3,874,45,18.46513
3,874,46,18.46513
3,874,47,19.08595
3,874,48,19.08595
3,874,49,28.75318
3,874,50,154.4983
3,874,51,84.18774
3,874,52,151.6651
3,874,53,58.26503
3,874,54,38.5047
3,874,55,33.90518
3,874,56,38.5047
3,874,57,23.9091
3,874,58,20.46186
4,17,0,1.49249
