,id,0000_01_10_2021,0001_02_10_2021,0002_03_10_2021,0003_04_10_2021,0004_05_10_2021,0005_06_10_2021,0006_07_10_2021,0007_08_10_2021,0008_09_10_2021,0009_10_10_2021,0010_11_10_2021,0011_12_10_2021,0012_13_10_2021,0013_14_10_2021,0014_15_10_2021,0015_16_10_2021,0016_17_10_2021,0017_18_10_2021,0018_19_10_2021,0019_20_10_2021,0020_21_10_2021,0021_22_10_2021,0022_23_10_2021,0023_24_10_2021,0024_25_10_2021,0025_26_10_2021,0026_27_10_2021,0027_28_10_2021,0028_29_10_2021,0029_30_10_2021,0030_31_10_2021,0031_01_11_2021,0032_02_11_2021,0033_03_11_2021,0034_04_11_2021,0035_05_11_2021,0036_06_11_2021,0037_07_11_2021,0038_08_11_2021,0039_09_11_2021,0040_10_11_2021,0041_11_11_2021,0042_12_11_2021,0043_13_11_2021,0044_14_11_2021,0045_15_11_2021,0046_16_11_2021,0047_17_11_2021,0048_18_11_2021,0049_19_11_2021,0050_20_11_2021,0051_21_11_2021,0052_22_11_2021,0053_23_11_2021,0054_24_11_2021,0055_25_11_2021,0056_26_11_2021,0057_27_11_2021,0058_28_11_2021,0059_29_11_2021,0060_30_11_2021,0061_01_12_2021,0062_02_12_2021,0063_03_12_2021,0064_04_12_2021,0065_05_12_2021,0066_06_12_2021,0067_07_12_2021,0068_08_12_2021,0069_09_12_2021,0070_10_12_2021,0071_11_12_2021,0072_12_12_2021,0073_13_12_2021,0074_14_12_2021,0075_15_12_2021,0076_16_12_2021,0077_17_12_2021,0078_18_12_2021,0079_19_12_2021,0080_20_12_2021,0081_21_12_2021,0082_22_12_2021,0083_23_12_2021,0084_24_12_2021,0085_25_12_2021,0086_26_12_2021,0087_27_12_2021,0088_28_12_2021,0089_29_12_2021,0090_30_12_2021,0091_31_12_2021
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.169593,13.227276,12.001728,10.77618,9.329041,14.007413,27.679598,35.082654,31.521877,26.513962,22.791508,20.569917,18.56596,17.340412,16.114863,15.502089,14.889315,12.885358,5.4325338,1.987625,0.99381252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7823671,23.530797,25.754115,21.408742,20.183194,18.071283,15.402554,12.620187
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2354009,13.4055195,12.1374775,10.869435,9.4020832,14.343687,28.285304,35.926211,32.2560995,27.118634999999998,23.350586,21.151276000000003,19.0825445,17.814502,16.546459499999997,15.912439,15.278417999999999,13.209685499999999,5.53612425,2.00002665,1.000013335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.869422,23.9811175,26.317905,21.8471165,20.5790745,18.513792000000002,15.84713,12.977708
2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2354009,13.4055195,12.1374775,10.869435,9.4020832,14.343687,28.285304,35.926211,32.2560995,27.118634999999998,23.350586,21.151276000000003,19.0825445,17.814502,16.546459499999997,15.912439,15.278417999999999,13.209685499999999,5.53612425,2.00002665,1.000013335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.869422,23.9811175,26.317905,21.8471165,20.5790745,18.513792000000002,15.84713,12.977708
3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3981695,13.81776,12.430301,11.042842,9.5076031,15.100281,29.643902,37.908889,33.96477,28.485412,24.622481,22.474701,20.235022,18.847563,17.460104,16.766375,16.072645,13.832966,5.6277473,1.9018862,0.95094308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.091899,25.202282,27.780363,22.934967,21.547508,19.568929,16.88591,13.794011
4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3981695,13.81776,12.430301,11.042842,9.5076031,15.100281,29.643902,37.908889,33.96477,28.485412,24.622481,22.474701,20.235022,18.847563,17.460104,16.766375,16.072645,13.832966,5.6277473,1.9018862,0.95094308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.091899,25.202282,27.780363,22.934967,21.547508,19.568929,16.88591,13.794011
5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2307279,13.392404,12.127151,10.861897,9.3956943,14.318606,28.24006,35.86465,32.202245,27.073636,23.309111,21.108162,19.043858,17.778604,16.513351,15.880724,15.248097,13.183793,5.5261351,1.9970853,0.99854264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8633547,23.950858,26.278958,21.816045,20.550791,18.48174,15.814587,12.951233
6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2307279,13.392404,12.127151,10.861897,9.3956943,14.318606,28.24006,35.86465,32.202245,27.073636,23.309111,21.108162,19.043858,17.778604,16.513351,15.880724,15.248097,13.183793,5.5261351,1.9970853,0.99854264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8633547,23.950858,26.278958,21.816045,20.550791,18.48174,15.814587,12.951233
7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2311515,13.3940135,12.128718,10.863421500000001,9.39737745,14.3219835,28.2462115,35.871755,32.208704,27.079608,23.3145005,21.1137525,19.049205,17.783908500000003,16.5186125,15.8859645,15.2533165,13.1887685,5.52945885,1.99924445,0.99962222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8637995499999995,23.9520235,26.2814895,21.818809,20.5535125,18.4852235,15.818431,12.954631500000001
8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22773125,13.385663000000001,12.1230325,10.8604015,9.395978750000001,14.3069035,28.2191835,35.8312235,32.173969,27.052291500000003,23.288983,21.0871905,19.026352000000003,17.763721,16.501089999999998,15.869775,15.2384595,13.1776205,5.5293266,2.0027099,1.00135495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8590467,23.9251935,26.2500185,21.795911,20.533279999999998,18.463480500000003,15.797266,12.938219
9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22773125,13.385663000000001,12.1230325,10.8604015,9.395978750000001,14.3069035,28.2191835,35.8312235,32.173969,27.052291500000003,23.288983,21.0871905,19.026352000000003,17.763721,16.501089999999998,15.869775,15.2384595,13.1776205,5.5293266,2.0027099,1.00135495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8590467,23.9251935,26.2500185,21.795911,20.533279999999998,18.463480500000003,15.797266,12.938219
