,id,0000_01_04_2022,0001_02_04_2022,0002_03_04_2022,0003_04_04_2022,0004_05_04_2022,0005_06_04_2022,0006_07_04_2022,0007_08_04_2022,0008_09_04_2022,0009_10_04_2022,0010_11_04_2022,0011_12_04_2022,0012_13_04_2022,0013_14_04_2022,0014_15_04_2022,0015_16_04_2022,0016_17_04_2022,0017_18_04_2022,0018_19_04_2022,0019_20_04_2022,0020_21_04_2022,0021_22_04_2022,0022_23_04_2022,0023_24_04_2022,0024_25_04_2022,0025_26_04_2022,0026_27_04_2022,0027_28_04_2022,0028_29_04_2022,0029_30_04_2022,0030_01_05_2022,0031_02_05_2022,0032_03_05_2022,0033_04_05_2022,0034_05_05_2022,0035_06_05_2022,0036_07_05_2022,0037_08_05_2022,0038_09_05_2022,0039_10_05_2022,0040_11_05_2022,0041_12_05_2022,0042_13_05_2022,0043_14_05_2022,0044_15_05_2022,0045_16_05_2022,0046_17_05_2022,0047_18_05_2022,0048_19_05_2022,0049_20_05_2022,0050_21_05_2022,0051_22_05_2022,0052_23_05_2022,0053_24_05_2022,0054_25_05_2022,0055_26_05_2022,0056_27_05_2022,0057_28_05_2022,0058_29_05_2022,0059_30_05_2022,0060_31_05_2022,0061_01_06_2022,0062_02_06_2022,0063_03_06_2022,0064_04_06_2022,0065_05_06_2022,0066_06_06_2022,0067_07_06_2022,0068_08_06_2022,0069_09_06_2022,0070_10_06_2022,0071_11_06_2022,0072_12_06_2022,0073_13_06_2022,0074_14_06_2022,0075_15_06_2022,0076_16_06_2022,0077_17_06_2022,0078_18_06_2022,0079_19_06_2022,0080_20_06_2022,0081_21_06_2022,0082_22_06_2022,0083_23_06_2022,0084_24_06_2022,0085_25_06_2022,0086_26_06_2022,0087_27_06_2022,0088_28_06_2022,0089_29_06_2022,0090_30_06_2022
0,1,14.061138,8.9435427,13.729867,13.001226,20.005183,20.617957,16.446134,16.446134,16.446134,11.941313,8.5461717,6.4924465,2.4845313,2.3188959,2.1532605,1.8219896,1.6563542,1.4907188,1.1594479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,14.4450735,9.17358165,14.1117355,13.3437005,20.412432000000003,21.0464535,16.879798,16.879798,16.879798,12.242327,8.73888395,6.63749745,2.50003335,2.3333644500000004,2.1666955999999997,1.8333578,1.6666889500000002,1.5000200000000001,1.1666822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,14.4450735,9.17358165,14.1117355,13.3437005,20.412432000000003,21.0464535,16.879798,16.879798,16.879798,12.242327,8.73888395,6.63749745,2.50003335,2.3333644500000004,2.1666955999999997,1.8333578,1.6666889500000002,1.5000200000000001,1.1666822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,15.280193,9.6316337,14.963212,14.051224,21.290903,21.984633,17.777085,17.777085,17.777085,12.822256,9.0366273,6.8567157,2.3773577,2.2188672,2.0603767,1.7433956,1.5849051,1.4264146,1.1094336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,15.280193,9.6316337,14.963212,14.051224,21.290903,21.984633,17.777085,17.777085,17.777085,12.822256,9.0366273,6.8567157,2.3773577,2.2188672,2.0603767,1.7433956,1.5849051,1.4264146,1.1094336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,14.415978,9.155472,14.083131,13.317149,20.381453,21.014079,16.846198,16.846198,16.846198,12.218319,8.7223373,6.6249649,2.4963566,2.3299328,2.1635091,1.8306615,1.6642377,1.497814,1.1649664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,14.415978,9.155472,14.083131,13.317149,20.381453,21.014079,16.846198,16.846198,16.846198,12.218319,8.7223373,6.6249649,2.4963566,2.3299328,2.1635091,1.8306615,1.6642377,1.497814,1.1649664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,14.420298,9.1587433,14.087090499999999,13.321606,20.3861535,21.0188015,16.85182,16.85182,16.85182,12.2229135,8.72646575,6.6281512,2.49905555,2.33245185,2.1658482,1.83264075,1.66603705,1.4994333499999999,1.1662259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,14.403997,9.1503266,14.070212,13.308259,20.369097500000002,21.000413,16.8348755,16.8348755,16.8348755,12.2125205,8.722158199999999,6.6250649500000005,2.5033874000000003,2.3364949,2.16960245,1.83581745,1.66892495,1.50203245,1.16824745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,14.403997,9.1503266,14.070212,13.308259,20.369097500000002,21.000413,16.8348755,16.8348755,16.8348755,12.2125205,8.722158199999999,6.6250649500000005,2.5033874000000003,2.3364949,2.16960245,1.83581745,1.66892495,1.50203245,1.16824745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
