i,j,t,r
0,15,0,1.515985
0,15,1,1.133294
0,15,2,0.9363244
0,15,3,0.9363244
0,15,4,1.045333
0,15,5,2.757543
0,15,6,1.823939
0,15,7,1.515985
0,15,8,1.435211
0,15,9,1.362609
0,15,10,1.006282
0,15,11,0.9048707
0,15,12,0.7326
0,15,13,0.7326
0,15,14,0.7326
0,15,15,0.7326
0,15,16,0.8754614
0,15,17,0.7976848
0,15,18,0.7326
0,15,19,1.133294
0,15,20,1.823939
0,15,21,1.237417
0,15,22,1.006282
0,15,23,0.7326
0,15,24,0.7326
0,15,25,0.7326
0,15,26,0.7326
0,15,27,0.7326
0,15,28,0.7326
0,15,29,0.7326
0,15,30,0.7326
0,15,31,1.237417
0,15,32,3.467493
0,15,33,3.979809
0,15,34,1.237417
0,15,35,1.362609
0,15,36,1.515985
0,15,37,1.362609
0,15,38,1.133294
0,15,39,1.087538
0,15,40,1.045333
0,15,41,1.435211
0,15,42,1.362609
0,15,43,1.006282
0,15,44,0.9048707
0,15,45,0.8754614
0,15,46,0.8754614
0,15,47,0.9048707
0,15,48,0.9048707
0,15,49,1.362609
0,15,50,7.326
0,15,51,3.979809
0,15,52,7.148216
0,15,53,2.757543
0,15,54,1.823939
0,15,55,1.606393
0,15,56,1.823939
0,15,57,1.133294
0,15,58,0.9700436
0,530,0,3.189918
0,530,1,2.384766
0,530,2,1.970331
0,530,3,1.970331
0,530,4,2.199695
0,530,5,5.80158
0,530,6,3.837779
0,530,7,3.189918
0,530,8,3.019982
0,530,9,2.867236
0,530,10,2.117528
0,530,11,1.904149
0,530,12,1.541664
0,530,13,1.541664
0,530,14,1.541664
0,530,15,1.541664
0,530,16,1.842268
0,530,17,1.678614
0,530,18,1.541664
0,530,19,2.384766
0,530,20,3.837779
0,530,21,2.60384
0,530,22,2.117528
0,530,23,1.541664
0,530,24,1.541664
0,530,25,1.541664
0,530,26,1.541664
0,530,27,1.541664
0,530,28,1.541664
0,530,29,1.541664
0,530,30,1.541664
0,530,31,2.60384
0,530,32,7.294658
0,530,33,8.371947
0,530,34,2.60384
0,530,35,2.867236
0,530,36,3.189918
0,530,37,2.867236
0,530,38,2.384766
0,530,39,2.288495
0,530,40,2.199695
0,530,41,3.019982
0,530,42,2.867236
0,530,43,2.117528
0,530,44,1.904149
0,530,45,1.842268
0,530,46,1.842268
0,530,47,1.904149
0,530,48,1.904149
0,530,49,2.867236
0,530,50,15.41664
0,530,51,8.371947
0,530,52,15.03167
0,530,53,5.80158
0,530,54,3.837779
0,530,55,3.380119
0,530,56,3.837779
0,530,57,2.384766
0,530,58,2.04128
1,441,0,1.140629
1,441,1,0.9053791
1,441,2,0.7725925
1,441,3,0.7725925
1,441,4,0.8471395
1,441,5,1.745276
1,441,6,1.310944
1,441,7,1.140629
1,441,8,1.093283
1,441,9,1.049711
1,441,10,0.8207418
1,441,11,0.750576
1,441,12,0.625752
1,441,13,0.625752
1,441,14,0.625752
1,441,15,0.625752
1,441,16,0.7297795
1,441,17,0.6737741
1,441,18,0.625752
1,441,19,0.9053791
1,441,20,1.310944
1,441,21,0.9722177
1,441,22,0.8207418
1,441,23,0.625752
1,441,24,0.625752
1,441,25,0.625752
1,441,26,0.625752
1,441,27,0.625752
1,441,28,0.625752
1,441,29,0.625752
1,441,30,0.625752
1,441,31,0.9722177
1,441,32,2.011903
1,441,33,2.178293
1,441,34,0.9722177
1,441,35,1.049711
1,441,36,1.140629
1,441,37,1.049711
1,441,38,0.9053791
1,441,39,0.8752916
1,441,40,0.8471395
1,441,41,1.093283
1,441,42,1.049711
1,441,43,0.8207418
1,441,44,0.750576
1,441,45,0.7297795
1,441,46,0.7297795
1,441,47,0.750576
1,441,48,0.750576
1,441,49,1.049711
1,441,50,3.255121
1,441,51,2.178293
1,441,52,2.897081
1,441,53,1.745276
1,441,54,1.310944
1,441,55,1.192261
1,441,56,1.310944
1,441,57,0.9053791
1,441,58,0.7959396
1,445,0,4.3838
1,445,1,3.480027
1,445,2,2.969809
1,445,3,2.969809
1,445,4,3.256255
1,445,5,6.705827
1,445,6,5.037989
1,445,7,4.3838
1,445,8,4.201924
1,445,9,4.034539
1,445,10,3.154825
1,445,11,2.885207
1,445,12,2.40552
1,445,13,2.40552
1,445,14,2.40552
1,445,15,2.40552
1,445,16,2.805292
1,445,17,2.590071
1,445,18,2.40552
1,445,19,3.480027
1,445,20,5.037989
1,445,21,3.736824
1,445,22,3.154825
1,445,23,2.40552
1,445,24,2.40552
1,445,25,2.40552
1,445,26,2.40552
1,445,27,2.40552
1,445,28,2.40552
1,445,29,2.40552
1,445,30,2.40552
1,445,31,3.736824
1,445,32,7.729356
1,445,33,8.367969
1,445,34,3.736824
1,445,35,4.034539
1,445,36,4.3838
1,445,37,4.034539
1,445,38,3.480027
1,445,39,3.364424
1,445,40,3.256255
1,445,41,4.201924
1,445,42,4.034539
1,445,43,3.154825
1,445,44,2.885207
1,445,45,2.805292
1,445,46,2.805292
1,445,47,2.885207
1,445,48,2.885207
1,445,49,4.034539
1,445,50,12.49859
1,445,51,8.367969
1,445,52,11.12563
1,445,53,6.705827
1,445,54,5.037989
1,445,55,4.582131
1,445,56,5.037989
1,445,57,3.480027
1,445,58,3.059522
2,494,0,31.99427
2,494,1,23.9091
2,494,2,19.74997
2,494,3,19.74997
2,494,4,22.05157
2,494,5,58.26503
2,494,6,38.5047
2,494,7,31.99427
2,494,8,30.28726
2,494,9,28.75318
2,494,10,21.227
2,494,11,19.08595
2,494,12,15.44983
2,494,13,15.44983
2,494,14,15.44983
2,494,15,15.44983
2,494,16,18.46513
2,494,17,16.82344
2,494,18,15.44983
2,494,19,23.9091
2,494,20,38.5047
2,494,21,26.10835
2,494,22,21.227
2,494,23,15.44983
2,494,24,15.44983
2,494,25,15.44983
2,494,26,15.44983
2,494,27,15.44983
2,494,28,15.44983
2,494,29,15.44983
2,494,30,15.44983
2,494,31,26.10835
2,494,32,73.31489
2,494,33,84.18774
2,494,34,26.10835
2,494,35,28.75318
2,494,36,31.99427
2,494,37,28.75318
2,494,38,23.9091
2,494,39,22.9428
2,494,40,22.05157
2,494,41,30.28726
2,494,42,28.75318
2,494,43,21.227
2,494,44,19.08595
2,494,45,18.46513
2,494,46,18.46513
2,494,47,19.08595
2,494,48,19.08595
2,494,49,28.75318
2,494,50,154.4983
2,494,51,84.18774
2,494,52,151.6651
2,494,53,58.26503
2,494,54,38.5047
2,494,55,33.90518
2,494,56,38.5047
2,494,57,23.9091
2,494,58,20.46186
3,16,0,1.49249
3,16,1,1.114842
3,16,2,0.9207023
3,16,3,0.9207023
3,16,4,1.028126
3,16,5,2.721839
3,16,6,1.796823
3,16,7,1.49249
3,16,8,1.412731
3,16,9,1.341063
3,16,10,0.9896368
3,16,11,0.8897152
3,16,12,0.720072
3,16,13,0.720072
3,16,14,0.720072
3,16,15,0.720072
3,16,16,0.8607459
3,16,17,0.7841498
3,16,18,0.720072
3,16,19,1.114842
3,16,20,1.796823
3,16,21,1.217534
3,16,22,0.9896368
3,16,23,0.720072
3,16,24,0.720072
3,16,25,0.720072
3,16,26,0.720072
3,16,27,0.720072
3,16,28,0.720072
3,16,29,0.720072
3,16,30,0.720072
3,16,31,1.217534
3,16,32,3.427675
3,16,33,3.938323
3,16,34,1.217534
3,16,35,1.341063
3,16,36,1.49249
3,16,37,1.341063
3,16,38,1.114842
3,16,39,1.069729
3,16,40,1.028126
3,16,41,1.412731
3,16,42,1.341063
3,16,43,0.9896368
3,16,44,0.8897152
3,16,45,0.8607459
3,16,46,0.8607459
3,16,47,0.8897152
3,16,48,0.8897152
3,16,49,1.341063
3,16,50,7.20072
3,16,51,3.938323
3,16,52,7.120901
3,16,53,2.721839
3,16,54,1.796823
3,16,55,1.581794
3,16,56,1.796823
3,16,57,1.114842
3,16,58,0.9539258
3,18,0,19.9341
3,18,1,14.89465
3,18,2,12.3028
3,18,3,12.3028
3,18,4,13.73705
3,18,5,36.31778
3,18,6,23.993
3,18,7,19.9341
3,18,8,18.87002
3,18,9,17.91379
3,18,10,13.2232
3,18,11,11.88903
3,18,12,9.623447
3,18,13,9.623447
3,18,14,9.623447
3,18,15,9.623447
3,18,16,11.50219
3,18,17,10.47928
3,18,18,9.623447
3,18,19,14.89465
3,18,20,23.993
3,18,21,16.2653
3,18,22,13.2232
3,18,23,9.623447
3,18,24,9.623447
3,18,25,9.623447
3,18,26,9.623447
3,18,27,9.623447
3,18,28,9.623447
3,18,29,9.623447
3,18,30,9.623447
3,18,31,16.2653
3,18,32,45.70992
3,18,33,52.49821
3,18,34,16.2653
3,18,35,17.91379
3,18,36,19.9341
3,18,37,17.91379
3,18,38,14.89465
3,18,39,14.29245
3,18,40,13.73705
3,18,41,18.87002
3,18,42,17.91379
3,18,43,13.2232
3,18,44,11.88903
3,18,45,11.50219
3,18,46,11.50219
3,18,47,11.88903
3,18,48,11.88903
3,18,49,17.91379
3,18,50,96.23447
3,18,51,52.49821
3,18,52,94.68076
3,18,53,36.31778
3,18,54,23.993
3,18,55,21.12536
3,18,56,23.993
3,18,57,14.89465
3,18,58,12.74641
4,397,0,3.731769
4,397,1,2.781658
4,397,2,2.294781
4,397,3,2.294781
4,397,4,2.564055
4,397,5,6.85252
4,397,6,4.500342
4,397,7,3.731769
4,397,8,3.530772
4,397,9,3.350321
4,397,10,2.46754
4,397,11,2.217167
4,397,12,1.792728
4,397,13,1.792728
4,397,14,1.792728
4,397,15,1.792728
4,397,16,2.14463
4,397,17,1.952954
4,397,18,1.792728
4,397,19,2.781658
4,397,20,4.500342
4,397,21,3.039621
4,397,22,2.46754
4,397,23,1.792728
4,397,24,1.792728
4,397,25,1.792728
4,397,26,1.792728
4,397,27,1.792728
4,397,28,1.792728
4,397,29,1.792728
4,397,30,1.792728
4,397,31,3.039621
4,397,32,8.663838
4,397,33,9.983272
4,397,34,3.039621
4,397,35,3.350321
4,397,36,3.731769
4,397,37,3.350321
4,397,38,2.781658
4,397,39,2.668428
4,397,40,2.564055
4,397,41,3.530772
4,397,42,3.350321
4,397,43,2.46754
4,397,44,2.217167
4,397,45,2.14463
4,397,46,2.14463
4,397,47,2.217167
4,397,48,2.217167
4,397,49,3.350321
4,397,50,17.92728
4,397,51,9.983272
4,397,52,17.92728
4,397,53,6.85252
4,397,54,4.500342
4,397,55,3.957031
4,397,56,4.500342
4,397,57,2.781658
4,397,58,2.378027
4,402,0,6.607554
4,402,1,4.923037
4,402,2,4.060409
4,402,3,4.060409
4,402,4,4.537447
4,402,5,12.15131
4,402,6,7.97133
4,402,7,6.607554
4,402,8,6.251065
4,402,9,5.931074
4,402,10,4.366449
4,402,11,3.922932
4,402,12,3.171312
4,402,13,3.171312
4,402,14,3.171312
4,402,15,3.171312
4,402,16,3.794459
4,402,17,3.455013
4,402,18,3.171312
4,402,19,4.923037
4,402,20,7.97133
4,402,21,5.380247
4,402,22,4.366449
4,402,23,3.171312
4,402,24,3.171312
4,402,25,3.171312
4,402,26,3.171312
4,402,27,3.171312
4,402,28,3.171312
4,402,29,3.171312
4,402,30,3.171312
4,402,31,5.380247
4,402,32,15.37656
4,402,33,17.72947
4,402,34,5.380247
4,402,35,5.931074
4,402,36,6.607554
4,402,37,5.931074
4,402,38,4.923037
4,402,39,4.722383
4,402,40,4.537447
4,402,41,6.251065
4,402,42,5.931074
4,402,43,4.366449
4,402,44,3.922932
4,402,45,3.794459
4,402,46,3.794459
4,402,47,3.922932
4,402,48,3.922932
4,402,49,5.931074
4,402,50,31.71312
4,402,51,17.72947
4,402,52,31.71312
4,402,53,12.15131
4,402,54,7.97133
4,402,55,7.007161
4,402,56,7.97133
4,402,57,4.923037
4,402,58,4.207872
4,458,0,9.184615
4,458,1,6.847995
4,458,2,5.650138
4,458,3,5.650138
4,458,4,6.312669
4,458,5,16.85094
4,458,6,11.07389
4,458,7,9.184615
4,458,8,8.690403
4,458,9,8.246661
4,458,10,6.075211
4,458,11,5.459155
4,458,12,4.414608
4,458,13,4.414608
4,458,14,4.414608
4,458,15,4.414608
4,458,16,5.28066
4,458,17,4.808953
4,458,18,4.414608
4,458,19,6.847995
4,458,20,11.07389
4,458,21,7.482528
4,458,22,6.075211
4,458,23,4.414608
4,458,24,4.414608
4,458,25,4.414608
4,458,26,4.414608
4,458,27,4.414608
4,458,28,4.414608
4,458,29,4.414608
4,458,30,4.414608
4,458,31,7.482528
