stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
NSR:Quay:65498,,Hol,,62.803593,7.170969,,,0,NSR:StopPlace:37766,2,,,700
NSR:Quay:103081,,Hopen kirke,,63.46543,8.014462,,,0,NSR:StopPlace:37900,2,,,700
NSR:Quay:68523,,Gautvik sør,,62.9688,7.312244,,,0,NSR:StopPlace:39799,2,,,700
NSR:Quay:65499,,Røssøyvågen,,62.81725,6.803565,,,0,NSR:StopPlace:37764,2,,,700
NSR:Quay:69853,,Bjørbekk,,62.566616,9.06455,,,0,NSR:StopPlace:40708,2,,,700
NSR:Quay:70869,,Reistad,,62.605934,7.2959,,,0,NSR:StopPlace:41405,2,,,700
NSR:Quay:70865,,Dragsund sør,,62.278973,5.822367,,,0,NSR:StopPlace:41402,2,,,700
NSR:Quay:65490,,Sætre,,62.303417,6.091739,,,0,NSR:StopPlace:37761,2,,,700
NSR:Quay:65491,,Sætre,,62.304073,6.093991,,,0,NSR:StopPlace:37761,2,,,700
NSR:Quay:70868,,Reistad,,62.605843,7.295555,,,0,NSR:StopPlace:41405,2,,,700
NSR:Quay:65489,,Hoksneskrysset,,62.823975,6.929573,,,0,NSR:StopPlace:37760,2,,,700
NSR:Quay:69847,,Eik,,62.56049,7.127523,,,0,NSR:StopPlace:40703,2,,,700
NSR:Quay:68514,,Gaustad nord,,62.985928,7.306614,,,0,NSR:StopPlace:39794,2,,,700
NSR:Quay:68517,,Karsten Flem AS,,62.68326,6.242774,,,0,NSR:StopPlace:39795,2,,,700
NSR:Quay:68516,,Gaustad nord,,62.986557,7.306069,,,0,NSR:StopPlace:39794,2,,,700
NSR:Quay:69846,,Eik,,62.56019,7.127794,,,0,NSR:StopPlace:40703,2,,,700
NSR:Quay:68519,,Karsten Flem AS,,62.68341,6.242721,,,0,NSR:StopPlace:39795,2,,,700
NSR:Quay:69849,,Skarbø skule,,62.463043,6.846604,,,0,NSR:StopPlace:40705,2,,,700
NSR:Quay:65482,,Vartdal Strand,,62.308895,6.100282,,,0,NSR:StopPlace:37756,2,,,700
NSR:Quay:69840,,Nato,,62.785892,6.890662,,,0,NSR:StopPlace:40699,2,,,700
NSR:Quay:70874,,Dravlaus Tore Brenne,,62.1173,5.939257,,,0,NSR:StopPlace:41409,2,,,700
NSR:Quay:65483,,Hoksnes,,62.82348,6.949828,,,0,NSR:StopPlace:37757,2,,,700
NSR:Quay:70875,,Dravlaus Tore Brenne,,62.117283,5.939393,,,0,NSR:StopPlace:41409,2,,,700
NSR:Quay:65484,,Røssevollkrysset,,62.436066,6.435917,,,0,NSR:StopPlace:37758,2,,,700
NSR:Quay:65485,,Vartdal Strand,,62.309456,6.100961,,,0,NSR:StopPlace:37756,2,,,700
NSR:Quay:68511,,Karihola barnehage,,63.12519,7.711102,,,0,NSR:StopPlace:39790,2,,,700
NSR:Quay:69843,,Bjermeland,,62.56436,7.123582,,,0,NSR:StopPlace:40701,2,,,700
NSR:Quay:68510,,Gaustad sør,,62.983383,7.309711,,,0,NSR:StopPlace:39789,2,,,700
NSR:Quay:65486,,Røssevollkrysset,,62.436234,6.436078,,,0,NSR:StopPlace:37758,2,,,700
NSR:Quay:69844,,Bjermeland,,62.564434,7.123752,,,0,NSR:StopPlace:40701,2,,,700
NSR:Quay:70870,,Dravlaus kyrkja,,62.12428,5.939684,,,0,NSR:StopPlace:41406,2,,,700
NSR:Quay:68513,,Karlsholmen,,62.84144,6.774858,,,0,NSR:StopPlace:39793,2,,,700
NSR:Quay:65487,,Røsslyngveien,,63.121346,7.743532,,,0,NSR:StopPlace:37759,2,,,700
NSR:Quay:69841,,Skarbø,,62.462627,6.864023,,,0,NSR:StopPlace:40700,2,,,700
NSR:Quay:70871,,Dravlaus kyrkja,,62.124275,5.939838,,,0,NSR:StopPlace:41406,2,,,700
NSR:Quay:65488,,Røsslyngveien,,63.12182,7.7425,,,0,NSR:StopPlace:37759,2,,,700
NSR:Quay:69842,,Skarbø,,62.462543,6.86397,,,0,NSR:StopPlace:40700,2,,,700
NSR:Quay:70877,,Drege,,62.281136,6.886762,,,0,NSR:StopPlace:41411,2,,,700
