id,latitude,longitude
24492641,62.6168039,6.2208352
33653973,62.6373327,6.2760765
173850696,62.5922777,6.2811288
249388063,62.471033,6.155932
256306948,62.470936,6.2397003
275605016,62.4740306,6.1560912
275605057,62.4721929,6.1548855
275605058,62.470769,6.152239
277917634,62.475676,6.156163
277917641,62.4740326,6.1569976
277918686,62.474135,6.158004
277918696,62.4745164,6.1621256
277936275,62.471525,6.160227
278085706,62.472316,6.158708
278086199,62.471828,6.165644
278086241,62.471994,6.166992
278086299,62.47307,6.161672
278199339,62.470807,6.151239
278339233,62.471074,6.156109
278339234,62.4722579,6.15502
278340781,62.471121,6.156007
278340782,62.47108,6.155849
278341913,62.470911,6.161915
278344250,62.470838,6.161917
282243049,62.4744414,6.1556416
282272324,62.4700806,6.1534794
282365547,62.4758513,6.1560714
415582386,62.465912,6.372176
415582387,62.465527,6.377929
419645987,62.4685912,6.378197
419659911,62.4648684,6.3093003
553033974,62.4717894,6.1536865
563040606,62.465901,6.312806
701231337,62.4672087,6.3051025
746318982,62.4690531,6.331244
760458734,62.4626767,6.3353792
760458739,62.4626465,6.3348301
847431215,62.470464,6.244094
847943721,62.4723735,6.1709104
848592229,62.472221,6.209372
892008005,62.469792,6.202811
1313526009,62.6546553,6.1934119
1315353651,62.6380426,6.2683083
1316595963,62.6799433,6.2619147
1340035109,62.6132863,6.1616439
1340035580,62.6363834,6.1753628
1340035748,62.6117666,6.2031496
1672336176,62.6388261,6.2681725
1672336239,62.644564,6.2602758
1770836757,62.5449812,6.2961571
1770836830,62.5468973,6.2884042
1770836837,62.5457868,6.2918079
1834617103,62.5056587,6.3186861
1885667788,62.4701107,6.15158
1885667800,62.4718856,6.1419642
2112534725,62.441211,6.375127
2299014267,62.4941086,6.3018879
2299014268,62.4942129,6.2963579
2390101122,62.465172,6.11817
2390101204,62.466594,6.107455
2390374987,62.4725669,6.168975
2390375015,62.4734551,6.1592852
2514630286,62.4706228,6.1547648
2514630298,62.4706733,6.1432173
2514630438,62.473762,6.180525
3060714753,62.4565256,6.3648599
3120390962,62.433183,6.34759
3252098599,62.4973691,6.3530921
3428281249,62.458503,6.372109
3474968857,62.434276,6.387296
3664217254,62.4977697,6.2545949
3671977969,62.4943604,6.1918033
3671978349,62.4957065,6.2009417
3671978395,62.4966913,6.2026035
3671978558,62.500024,6.2144589
3671978754,62.4996484,6.2153129
3672265713,62.4921558,6.2556444
3672266149,62.4998918,6.2169829
3672266155,62.5000688,6.2205229
3672266177,62.5006496,6.2190498
3964377615,62.467511,6.3518395
3966731902,62.4640835,6.3568892
3966732182,62.4649944,6.3612357
4336766289,62.4746701,6.1651992
4350862656,62.530157,6.2772792
4350862670,62.5311352,6.2744693
4883918727,62.4757338,6.1635044
4930085782,62.58587,6.270736
4934173297,62.6455365,6.256047
4934173401,62.635447,6.2698154
4934173411,62.6377045,6.2718051
5067546845,62.467575,6.328269
5067557100,62.4686384,6.3186045
5067562534,62.465129,6.276369
5086216042,62.6029554,6.345238
5086218103,62.6731023,6.3364278
5086218694,62.6707252,6.338082
5086218757,62.5451737,6.286943
5086218817,62.6565527,6.1873524
5086218994,62.5457427,6.28894
5086219720,62.5451157,6.2805819
5086220159,62.6359211,6.2699105
5086220467,62.6810236,6.2539564
5086220658,62.546439,6.2928361
5086220903,62.6021538,6.3321731
5086220944,62.5598279,6.2842835
5086221141,62.5769332,6.2719674
5086221169,62.6051835,6.3221623
5086221637,62.6392172,6.270924
5086221717,62.6748585,6.2656574
