id,startId,stopId,name,type,length,maxSpeed,list0,list1
6388,7389961861,7389962881,Storhaugen,residential,152.547,30,6.448022@6.4479@6.447567@6.447456@6.447363@6.447206@6.447059@6.446913@6.446746@6.446605@6.446482@6.446329@6.446175@6.44604@6.445928@6.445554,62.434319@62.434356@62.434445@62.434471@62.434489@62.434507@62.434509@62.434497@62.434479@62.43446@62.434435@62.434392@62.434338@62.434285@62.434232@62.434021
6389,7389961861,7389961862,Storhaugen,residential,45.567,30,6.448022@6.448179@6.448494@6.448618@6.448676@6.448698,62.434319@62.434274@62.434178@62.434125@62.434087@62.434064
6390,7389961861,7389961859,Storhaugen,residential,67.5,30,6.448022@6.448094@6.448271@6.448336@6.44838@6.448407@6.448432@6.448437,62.434319@62.434381@62.434518@62.434589@62.434656@62.434717@62.434834@62.434884
6391,7389961862,7389962881,Storhaugen,residential,218.867,30,6.448698@6.448731@6.448746@6.44875@6.448746@6.448725@6.448684@6.448594@6.448509@6.448416@6.448324@6.447952@6.447505@6.447025@6.446867@6.446765@6.446656@6.446562@6.446301@6.445746@6.445619@6.445554,62.434064@62.433988@62.433924@62.433876@62.43383@62.433789@62.433741@62.433695@62.433668@62.433653@62.433644@62.43362@62.433597@62.433566@62.43357@62.433588@62.433613@62.433643@62.433737@62.433947@62.433992@62.434021
6392,7389961862,7389961861,Storhaugen,residential,45.567,30,6.448698@6.448676@6.448618@6.448494@6.448179@6.448022,62.434064@62.434087@62.434125@62.434178@62.434274@62.434319
6393,7389961862,7389962899,Storhaugen,residential,39.581,30,6.448698@6.448809@6.449072@6.449371@6.449433,62.434064@62.434079@62.434111@62.43415@62.434166
6394,7389961915,3925657584,Magerholmvegen,primary,280.465,50,6.502365@6.502293@6.502224@6.502083@6.501858@6.5013608@6.5011732@6.5009547@6.5007826@6.5005675@6.5001001@6.4993765@6.4988563@6.4979067@6.4977506@6.4976326@6.497526@6.4974441@6.4973127@6.4972918@6.4972272,62.432522@62.432496@62.432483@62.432487@62.4325154@62.4325807@62.4326024@62.4326263@62.4326408@62.432647@62.4326219@62.4325718@62.4325553@62.4325363@62.4325245@62.4325067@62.4324769@62.4324413@62.4323649@62.4323464@62.4322914
6395,7389961925,7389961300,Djupmyra,residential,186.074,30,6.412392@6.412844@6.413679@6.413849@6.414004@6.414161@6.414453@6.415024@6.415197@6.415385@6.415533@6.4156262,62.431069@62.431083@62.431103@62.431094@62.431077@62.431045@62.430966@62.430783@62.430732@62.430668@62.430602@62.4305489
6396,7389961925,7389962052,Djupmyrvegen,residential,29.832,30,6.412392@6.412136@6.411945@6.411815,62.431069@62.431058@62.431052@62.431044
6397,7389961925,7389961769,Kroken,residential,121.129,30,6.412392@6.412391@6.412391@6.412401@6.41243@6.41247@6.412876@6.412993@6.413082@6.413337@6.413443@6.413549@6.413657@6.413759@6.413849@6.413929@6.414097@6.414281,62.431069@62.431121@62.431141@62.431192@62.431207@62.431217@62.431243@62.431257@62.431278@62.431367@62.4314@62.431425@62.431442@62.431453@62.43145@62.431438@62.431395@62.431342
